Sampleid	Species	Soil_type	Soil_Age	Fertilization	N__Area	C__Area	H__Area	S__Area	N__Factor	H__Factor	C__Factor	S__Factor	N_percent	C__percent	H_percent	S_percent	CN_ratio	CH_ratio	Prot_Factor	Prot_percent	pH	NNmeq_100g	O_M	Bray_IP_lb_Ac	Ca_lb_Ac	Mg_lb_Ac	K_lb_Ac	CEC_meq_100g	Sand_percent	Silt_percent	Clay_percent	Leaf_Litter	Moss	Wood_Litter
Blank01	NA	NA	NA	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blank02	NA	NA	NA	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blank03	NA	NA	NA	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blank04	NA	NA	NA	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CoCC01	Control	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CoCC02	Control	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CoCC03	Control	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CoCC04	Control	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CoCC05	Control	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CoCC06	Control	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CoCC07	Control	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CoDB01	Control	DanaBrown	Middle	Fertile	5128	40484.25	39483.5	253.75	0.9824	1.0727	0.9923	0.9996	0.185	2.0625	0.653	0.02575	10.9918	3.08285	6.25	1.1635	5.225	3.875	3.15	30	1142.5	409.75	210.5	8.725	11.875	80.625	7.5	49.5	0.066666667	3.4
CoDB02	Control	DanaBrown	Middle	Fertile	5128	40484.25	39483.5	253.75	0.9824	1.0727	0.9923	0.9996	0.185	2.0625	0.653	0.02575	10.9918	3.08285	6.25	1.1635	5.225	3.875	3.15	30	1142.5	409.75	210.5	8.725	11.875	80.625	7.5	49.5	0.066666667	3.4
CoDB03	Control	DanaBrown	Middle	Fertile	5128	40484.25	39483.5	253.75	0.9824	1.0727	0.9923	0.9996	0.185	2.0625	0.653	0.02575	10.9918	3.08285	6.25	1.1635	5.225	3.875	3.15	30	1142.5	409.75	210.5	8.725	11.875	80.625	7.5	49.5	0.066666667	3.4
CoDB04	Control	DanaBrown	Middle	Fertile	5128	40484.25	39483.5	253.75	0.9824	1.0727	0.9923	0.9996	0.185	2.0625	0.653	0.02575	10.9918	3.08285	6.25	1.1635	5.225	3.875	3.15	30	1142.5	409.75	210.5	8.725	11.875	80.625	7.5	49.5	0.066666667	3.4
CoDB05	Control	DanaBrown	Middle	Fertile	5128	40484.25	39483.5	253.75	0.9824	1.0727	0.9923	0.9996	0.185	2.0625	0.653	0.02575	10.9918	3.08285	6.25	1.1635	5.225	3.875	3.15	30	1142.5	409.75	210.5	8.725	11.875	80.625	7.5	49.5	0.066666667	3.4
CoDB06	Control	DanaBrown	Middle	Fertile	5128	40484.25	39483.5	253.75	0.9824	1.0727	0.9923	0.9996	0.185	2.0625	0.653	0.02575	10.9918	3.08285	6.25	1.1635	5.225	3.875	3.15	30	1142.5	409.75	210.5	8.725	11.875	80.625	7.5	49.5	0.066666667	3.4
CoDB07	Control	DanaBrown	Middle	Fertile	5128	40484.25	39483.5	253.75	0.9824	1.0727	0.9923	0.9996	0.185	2.0625	0.653	0.02575	10.9918	3.08285	6.25	1.1635	5.225	3.875	3.15	30	1142.5	409.75	210.5	8.725	11.875	80.625	7.5	49.5	0.066666667	3.4
