Unit,plot,Plot,Block,Species,Number,potID,uniqID,greenhouseSoil,seedID,quadrat,Quadrat,Soil,Soil2,Competition,Position,Year,Survival,Height,Rosette,nLeaf,nStem,leafDamage,leafLength,leafWidth,Area_week12
EAMO,3,EAMO#3,D,Gv,1,D-Gv-1,EAMO-D-Gv-1,EAMO,505,TL-HS-CA,TL,Home,Young,Absent,C4,2020,1,69.6,0,17,2,2,28.3,13.9,393.37
EAMO,3,EAMO#3,A,Gv,1,A-Gv-1,EAMO-A-Gv-1,EAMO,506,TL-HS-CA,TL,Home,Young,Absent,C5,2020,1,40.7,0,11,2,3,26.6,17,452.2
EAMO,3,EAMO#3,F,Gv,4,F-Gv-4,EAMO-F-Gv-4,EAMO,520,TR-HS-CP,TR,Home,Young,Present,B4,2020,1,86.7,0,26,3,2,26.2,15.5,406.1
EAMO,3,EAMO#3,H,Gv,3,H-Gv-3,EAMO-H-Gv-3,EAMO,526,TR-HS-CP,TR,Home,Young,Present,D1,2020,1,37.4,0,12,2,1,19.7,16.6,327.02
EAMO,4,EAMO#4,C,Gv,2-B,C-Gv-2-B,EAMO-C-Gv-2-B,EAMO,602,TL-HS-CP,TL,Home,Young,Present,A2,2020,1,16.5,0,3,1,3,21.9,2.2,48.18
EAMO,4,EAMO#4,B,Gv,3,B-Gv-3,EAMO-B-Gv-3,EAMO,605,TL-HS-CP,TL,Home,Young,Present,A5,2020,1,43.4,0,11,1,1,25.1,12.8,321.28
EAMO,4,EAMO#4,F,Gv,4-B,F-Gv-4-B,EAMO-F-Gv-4-B,EAMO,615,TL-HS-CP,TL,Home,Young,Present,D1,2020,1,68.8,0,12,1,1,23.6,9.9,233.64
EAMO,4,EAMO#4,G,Gv,2,G-Gv-2,EAMO-G-Gv-2,EAMO,619,TR-HS-CA,TR,Home,Young,Absent,A1,2020,1,72.8,0,24,2,3,16.7,9.6,160.32
EAMO,4,EAMO#4,D,Gv,2,D-Gv-2,EAMO-D-Gv-2,EAMO,620,TR-HS-CA,TR,Home,Young,Absent,A3,2020,1,67.3,0,24,3,2,31.8,17.2,546.96
EAMO,4,EAMO#4,C,Gv,2,C-Gv-2,EAMO-C-Gv-2,EAMO,621,TR-HS-CA,TR,Home,Young,Absent,A4,2020,1,67.6,0,21,2,1,26.4,14.2,374.88
EAMO,1,EAMO#1,C,Gv,4,C-Gv-4,EAMO-C-Gv-4,EAMO,739,BL-HS-CP,BL,Home,Young,Present,A2,2020,1,56.5,0,12,1,1,24.4,11.9,290.36
EAMO,1,EAMO#1,,Gv,,-Gv-,EAMO--Gv-,EAMO,740,BL-HS-CP,BL,Home,Young,Present,A3,2020,1,44.5,0,13,1,1,21.4,8.4,179.76
EAMO,1,EAMO#1,H,Gv,1-C,H-Gv-1-C,EAMO-H-Gv-1-C,EAMO,747,BL-HS-CP,BL,Home,Young,Present,B5,2020,1,74.4,0,28,2,2,10.5,20.9,219.45
